DEP_TIME,DEP_DELAY_NEW,CANCELLED
928,0,0
1439,0,0
1044,0,0
1404,0,0
1416,1,0
704,0,0
956,0,0
1434,0,0
639,0,0
1339,0,0
1221,0,0
1128,0,0
1440,0,0
1635,0,0
734,44,0
756,0,0
616,0,0
1344,0,0
1523,0,0
1357,0,0
1129,74,0
1841,11,0
1037,7,0
812,0,0
1352,17,0
1622,12,0
1033,0,0
1218,18,0
814,0,0
1843,0,0
828,0,0
819,0,0
1633,38,0
1237,22,0
1657,0,0
1045,0,0
1611,21,0
1416,0,0
1625,0,0
1009,0,0
703,0,0
1035,0,0
1214,19,0
830,0,0
1842,0,0
1457,0,0
1209,0,0
922,0,0
1330,0,0
1649,0,0
1023,3,0
1612,22,0
1039,0,0
622,0,0
1026,0,0
1616,16,0
1539,0,0
658,0,0
1845,0,0
1233,13,0
1110,5,0
1838,43,0
1424,0,0
853,0,0
1555,0,0
1700,5,0
1127,7,0
1140,0,0
701,1,0
1429,4,0
948,0,0
657,0,0
1150,0,0
1413,0,0
1608,0,0
1540,0,0
1033,0,0
1553,0,0
1103,13,0
1548,0,0
1028,0,0
1157,0,0
1455,0,0
942,0,0
1843,0,0
528,0,0
1133,0,0
1606,21,0
1104,24,0
1611,6,0
1027,0,0
815,0,0
1833,0,0
808,0,0
1040,10,0
2026,0,0
1845,0,0
810,0,0
1246,0,0
1006,1,0
1419,0,0
619,0,0
1617,17,0
1237,0,0
840,0,0
1035,0,0
1832,32,0
1415,0,0
840,0,0
1525,0,0
1921,1,0
1205,0,0
821,0,0
1550,0,0
1524,0,0
817,0,0
1924,54,0
815,0,0
1420,0,0
1825,0,0
821,0,0
1206,1,0
1350,0,0
823,0,0
1027,0,0
1725,0,0
1355,0,0
1618,28,0
1607,22,0
820,5,0
1837,7,0
1238,0,0
625,0,0
640,0,0
556,0,0
1327,0,0
1624,0,0
1129,0,0
1449,0,0
638,0,0
1106,0,0
1438,0,0
806,0,0
1115,0,0
1255,0,0
755,0,0
1531,0,0
654,0,0
817,0,0
1549,0,0
1350,0,0
955,0,0
1450,0,0
913,0,0
1200,0,0
806,0,0
1826,1,0
1737,0,0
1612,0,0
1122,0,0
1341,0,0
1508,0,0
1736,0,0
1225,0,0
944,0,0
1740,0,0
701,1,0
1500,0,0
857,0,0
1025,0,0
1323,0,0
1040,0,0
1350,0,0
1622,2,0
1007,0,0
1116,1,0
1416,0,0
1129,0,0
1016,0,0
850,0,0
1800,0,0
1604,0,0
1156,6,0
927,0,0
1458,3,0
1345,0,0
1621,0,0
1042,2,0
1005,0,0
1201,0,0
1037,0,0
1643,0,0
839,0,0
1324,0,0
1312,17,0
1701,1,0
1036,0,0
1735,0,0
655,0,0
909,9,0
1537,12,0
1401,0,0
1706,6,0
809,9,0
1514,0,0
934,9,0
1005,5,0
1955,0,0
940,0,0
637,0,0
934,14,0
1254,0,0
1547,0,0
1721,0,0
1422,0,0
858,0,0
1229,0,0
1234,4,0
1343,0,0
1753,0,0
637,7,0
755,0,0
1536,1,0
1949,0,0
954,0,0
1715,0,0
1533,0,0
1105,0,0
1945,0,0
634,0,0
1738,8,0
1109,0,0
833,8,0
1522,0,0
1532,2,0
1724,0,0
1749,0,0
1231,0,0
821,0,0
1521,0,0
1003,0,0
1421,0,0
731,0,0
1658,0,0
1857,12,0
1146,1,0
1719,0,0
1250,20,0
1404,14,0
944,0,0
1950,0,0
1817,0,0
1521,16,0
1155,0,0
942,0,0
1354,54,0
808,0,0
653,0,0
1700,0,0
1858,3,0
1108,0,0
1713,0,0
1713,0,0
1724,0,0
1242,7,0
1154,0,0
2008,3,0
1549,0,0
956,1,0
1352,0,0
1942,0,0
1415,0,0
1017,2,0
1255,0,0
1920,0,0
955,0,0
1706,0,0
1833,0,0
756,0,0
1104,0,0
1723,3,0
655,0,0
824,0,0
1417,22,0
1355,5,0
1034,0,0
1156,0,0
810,0,0
1604,0,0
1309,0,0
1235,0,0
1718,0,0
1239,0,0
1752,0,0
1529,0,0
1600,0,0
1156,0,0
1500,0,0
943,0,0
1315,0,0
1553,0,0
1948,0,0
1008,0,0
1732,2,0
1254,0,0
1728,0,0
1511,0,0
1247,0,0
1034,0,0
1525,0,0
1955,0,0
1002,0,0
1959,0,0
1721,1,0
1234,4,0
1101,0,0
1304,0,0
800,0,0
2004,4,0
1628,3,0
951,1,0
711,0,0
1506,6,0
1726,0,0
1242,0,0
1413,0,0
1951,0,0
942,0,0
1239,0,0
1017,12,0
1400,0,0
1817,0,0
1355,5,0
1829,14,0
1708,0,0
1308,0,0
2005,20,0
1009,0,0
1000,0,0
2011,0,0
1955,0,0
1000,0,0
657,0,0
1455,40,0
2006,6,0
941,0,0
1535,0,0
1547,2,0
1006,0,0
2003,0,0
758,0,0
